   Kintetic: 6.190786021298788e-06        Potential: -0.0012727741649894962       total: 0.0012789649510107951
   Kintetic: 7.20866826311815e-06        Potential: -0.0012737356989066956       total: 0.0012809443671698137
   Kintetic: 7.2347010844624475e-06        Potential: -0.0012743198661255672       total: 0.0012815545672100294
   Kintetic: 6.278370204106994e-06        Potential: -0.001274382561404245       total: 0.001280660931608352
   Kintetic: 4.675022996275878e-06        Potential: -0.0012739678916246291       total: 0.001278642914620905
   Kintetic: 2.9114276739010166e-06        Potential: -0.0012732700024313806       total: 0.0012761814301052816
   Kintetic: 1.451328569309291e-06        Potential: -0.0012725403311121578       total: 0.0012739916596814671
   Kintetic: 6.303331548323818e-07        Potential: -0.0012720036851056812       total: 0.0012726340182605137
   Kintetic: 6.095380862813386e-07        Potential: -0.001271811224359374       total: 0.0012724207624456555
   Kintetic: 1.3541128864698456e-06        Potential: -0.0012720213100348616       total: 0.0012733754229213316
   Kintetic: 2.6244638844080677e-06        Potential: -0.0012725917186423455       total: 0.0012752161825267535
   Kintetic: 4.003005663760194e-06        Potential: -0.0012733796462548836       total: 0.001277382651918644
   Kintetic: 4.9984839110040525e-06        Potential: -0.0012741630776636629       total: 0.0012791615615746668
   Kintetic: 5.23165698222318e-06        Potential: -0.0012747020906645977       total: 0.001279933747646821
   Kintetic: 4.612050362466089e-06        Potential: -0.0012748337519900104       total: 0.0012794458023524765
   Kintetic: 3.375513365281906e-06        Potential: -0.0012745494516008214       total: 0.0012779249649661033
   Kintetic: 1.956094350398911e-06        Potential: -0.0012739960456783067       total: 0.0012759521400287055
   Kintetic: 7.961566367053678e-07        Potential: -0.0012734006353941317       total: 0.001274196792030837
   Kintetic: 2.035039262396347e-07        Potential: -0.0012729757757521777       total: 0.0012731792796784173
   Kintetic: 2.8588280922613317e-07        Potential: -0.0012728546492534781       total: 0.0012731405320627043
   Kintetic: 9.440614816762825e-07        Potential: -0.001273065725265227       total: 0.0012740097867469033
   Kintetic: 1.908239900489265e-06        Potential: -0.001273535817052331       total: 0.0012754440569528204
   Kintetic: 2.8195185003882033e-06        Potential: -0.0012741145392062907       total: 0.0012769340577066792
   Kintetic: 3.35091825847579e-06        Potential: -0.0012746204708485587       total: 0.0012779713891070343
   Kintetic: 3.3272722488339243e-06        Potential: -0.00127490316681951       total: 0.001278230439068344
   Kintetic: 2.7815097613139474e-06        Potential: -0.0012748979386399799       total: 0.0012776794484012938
   Kintetic: 1.9182083870247094e-06        Potential: -0.0012746441855234214       total: 0.001276562393910446
   Kintetic: 1.0170236738679197e-06        Potential: -0.0012742586679766838       total: 0.001275275691650552
   Kintetic: 3.338516806720499e-07        Potential: -0.001273884132102928       total: 0.0012742179837836002
   Kintetic: 3.4524523461992955e-08        Potential: -0.0012736416106211572       total: 0.0012736761351446193
   Kintetic: 1.6440242261629647e-07        Potential: -0.0012736009839825304       total: 0.0012737653864051466
   Kintetic: 6.456096454468757e-07        Potential: -0.0012737695840165143       total: 0.0012744151936619611
   Kintetic: 1.2988787668822765e-06        Potential: -0.0012740944388275012       total: 0.0012753933175943834
   Kintetic: 1.8931325233362294e-06        Potential: -0.0012744769274627673       total: 0.0012763700599861033
   Kintetic: 2.2195658741790327e-06        Potential: -0.0012748008822962213       total: 0.0012770204481704003
   Kintetic: 2.167351620264271e-06        Potential: -0.0012749707140345134       total: 0.0012771380656547775
   Kintetic: 1.7640360812469485e-06        Potential: -0.0012749464093321924       total: 0.0012767104454134393
   Kintetic: 1.157559864908869e-06        Potential: -0.0012747576039102825       total: 0.0012759151637751914
   Kintetic: 5.517844953930252e-07        Potential: -0.0012744884450719299       total: 0.001275040229567323
   Kintetic: 1.3064492374975685e-07        Potential: -0.001274242293155304       total: 0.0012743729380790536
   Kintetic: 1.3394984404701015e-09        Potential: -0.0012741044803844972       total: 0.0012741058198829378
   Kintetic: 1.6914672121113354e-07        Potential: -0.0012741170168666988       total: 0.0012742861635879098
   Kintetic: 5.44096419611607e-07        Potential: -0.0012742699865796972       total: 0.0012748140829993088
   Kintetic: 9.752088458982177e-07        Potential: -0.001274508756224314       total: 0.0012754839650702121
   Kintetic: 1.303616857599671e-06        Potential: -0.0012747540712605176       total: 0.0012760576881181173
   Kintetic: 1.4178596989208001e-06        Potential: -0.0012749297284844973       total: 0.0012763475881834181
   Kintetic: 1.2895625537669844e-06        Potential: -0.001274988751307071       total: 0.001276278313860838
   Kintetic: 9.749255329557291e-07        Potential: -0.0012749276239255804       total: 0.001275902549458536
   Kintetic: 5.850075051169425e-07        Potential: -0.0012747830196227746       total: 0.0012753680271278915
   Kintetic: 2.4201742555582177e-07        Potential: -0.0012746143468020839       total: 0.0012748563642276398
   Kintetic: 4.012109235858162e-08        Potential: -0.0012744814393361673       total: 0.0012745215604285259
   Kintetic: 2.1330203309268307e-08        Potential: -0.0012744261850963403       total: 0.0012744475152996495
   Kintetic: 1.689405220139486e-07        Potential: -0.0012744625037601836       total: 0.0012746314442821976
   Kintetic: 4.170022455461073e-07        Potential: -0.001274575241012445       total: 0.0012749922432579912
   Kintetic: 6.727695053925974e-07        Potential: -0.0012747268253270765       total: 0.001275399594832469
   Kintetic: 8.468494788652632e-07        Potential: -0.001274869807782571       total: 0.0012757166572614363
   Kintetic: 8.82312183252983e-07        Potential: -0.0012749622293089387       total: 0.0012758445414921917
   Kintetic: 7.72306013348875e-07        Potential: -0.001274981185606669       total: 0.001275753491620018
   Kintetic: 5.591851564609964e-07        Potential: -0.0012749296092851678       total: 0.0012754887944416288
   Kintetic: 3.161483013270253e-07        Potential: -0.0012748335750308285       total: 0.0012751497233321556
   Kintetic: 1.1983462636248956e-07        Potential: -0.0012747315585234702       total: 0.0012748513931498326
   Kintetic: 2.471173676351823e-08        Potential: -0.0012746603960809206       total: 0.0012746851078176843
   Kintetic: 4.746102330288046e-08        Potential: -0.0012746433013186651       total: 0.0012746907623419682
   Kintetic: 1.6495825312806758e-07        Potential: -0.0012746835990392349       total: 0.001274848557292363
   Kintetic: 3.251662803832884e-07        Potential: -0.0012747654250871048       total: 0.001275090591367488
   Kintetic: 4.667305366993563e-07        Potential: -0.001274860533848713       total: 0.0012753272643854124
   Kintetic: 5.403884377557831e-07        Potential: -0.0012749386929460692       total: 0.0012754790813838252
   Kintetic: 5.245360139902873e-07        Potential: -0.0012749780251003148       total: 0.0012755025611143052
   Kintetic: 4.2963468737147384e-07        Potential: -0.0012749716309026157       total: 0.001275401265589987
   Kintetic: 2.909825321309258e-07        Potential: -0.0012749283352296381       total: 0.0012752193177617691
   Kintetic: 1.5406702945875519e-07        Potential: -0.0012748679125615119       total: 0.0012750219795909707
   Kintetic: 5.8745714384835414e-08        Potential: -0.0012748132786122388       total: 0.0012748720243266236
   Kintetic: 2.7520250934997618e-08        Potential: -0.0012747828060130223       total: 0.0012748103262639572
   Kintetic: 6.066444751784267e-08        Potential: -0.0012747851777604067       total: 0.0012748458422079246
   Kintetic: 1.3850803976577307e-07        Potential: -0.0012748178568789807       total: 0.0012749563649187465
   Kintetic: 2.2938105971784307e-07        Potential: -0.0012748690524751712       total: 0.0012750984335348889
   Kintetic: 3.00508505567371e-07        Potential: -0.001274922229913304       total: 0.0012752227384188715
   Kintetic: 3.284616654226278e-07        Potential: -0.0012749616818651386       total: 0.0012752901435305612
   Kintetic: 3.0590371915717284e-07        Potential: -0.0012749774398638587       total: 0.0012752833435830159
   Kintetic: 2.4259085533103936e-07        Potential: -0.0012749680060241074       total: 0.0012752105968794384
   Kintetic: 1.6064837836783398e-07        Potential: -0.0012749401135367323       total: 0.0012751007619151002
