   Kintetic: 1.3909568257609672        Potential: 2.3758676534667664       total: -0.9849108277057989
   Kintetic: 1.4144028723983662        Potential: 2.3980659730633795       total: -0.9836631006650133
   Kintetic: 1.4375700473625823        Potential: 2.423912093709373       total: -0.9863420463467911
   Kintetic: 1.4614374363246216        Potential: 2.4461751611044766       total: -0.984737724779855
   Kintetic: 1.4833904947189498        Potential: 2.4664845857093503       total: -0.9830940909904005
   Kintetic: 1.4999765824056985        Potential: 2.483960574327537       total: -0.9839839919218384
   Kintetic: 1.5155860192105892        Potential: 2.500609545755927       total: -0.9850235265453379
   Kintetic: 1.53084843376753        Potential: 2.515401646510354       total: -0.9845532127428236
   Kintetic: 1.5458358667372505        Potential: 2.5281040090118805       total: -0.98226814227463
   Kintetic: 1.5594814394667718        Potential: 2.5394896210014064       total: -0.9800081815346349
   Kintetic: 1.570812345210155        Potential: 2.5495067006974472       total: -0.9786943554872921
   Kintetic: 1.5821197808643286        Potential: 2.558407121811438       total: -0.9762873409471098
   Kintetic: 1.5935539512220303        Potential: 2.57138228407567       total: -0.9778283328536397
   Kintetic: 1.6009942860440656        Potential: 2.5762107881288654       total: -0.9752165020847998
   Kintetic: 1.6037765803106505        Potential: 2.5797141284219536       total: -0.9759375481113031
   Kintetic: 1.6058028951742156        Potential: 2.5787917664788558       total: -0.9729888713046401
   Kintetic: 1.610501497589432        Potential: 2.5822562990968656       total: -0.9717548015074334
   Kintetic: 1.6157914029859126        Potential: 2.5875892515471146       total: -0.971797848561202
   Kintetic: 1.6213570544299376        Potential: 2.59144188604203       total: -0.9700848316120925
   Kintetic: 1.626814288197481        Potential: 2.597086204141715       total: -0.970271915944234
   Kintetic: 1.633925217071238        Potential: 2.6027798958918824       total: -0.9688546788206445
   Kintetic: 1.6408835154899415        Potential: 2.6082708881058427       total: -0.9673873726159012
   Kintetic: 1.6464612553805391        Potential: 2.61364874082968       total: -0.9671874854491405
   Kintetic: 1.6525722197909698        Potential: 2.6190472702742       total: -0.9664750504832302
   Kintetic: 1.6556700011205157        Potential: 2.624781404499935       total: -0.9691114033794194
   Kintetic: 1.6580230266601406        Potential: 2.6226842566278936       total: -0.9646612299677529
   Kintetic: 1.6616705224196524        Potential: 2.6288570304997116       total: -0.9671865080800592
