   Kintetic: 4.889428721136918        Potential: 52.558506723445944       total: -47.66907800230903
   Kintetic: 4.884861782455239        Potential: 52.55393959737729       total: -47.66907781492205
   Kintetic: 4.880146906786696        Potential: 52.549224530438586       total: -47.66907762365189
   Kintetic: 4.87528683804654        Potential: 52.5443642668468       total: -47.66907742880026
   Kintetic: 4.870284374369829        Potential: 52.53936160503891       total: -47.66907723066908
   Kintetic: 4.865142364001474        Potential: 52.5342193935612       total: -47.66907702955973
   Kintetic: 4.85986370118947        Potential: 52.528940526961705       total: -47.66907682577224
   Kintetic: 4.854451322091557        Potential: 52.523527941696116       total: -47.66907661960456
   Kintetic: 4.8489082007051545        Potential: 52.51798461205705       total: -47.669076411351895
   Kintetic: 4.843237344830061        Potential: 52.512313546136035       total: -47.66907620130598
   Kintetic: 4.837441792072955        Potential: 52.506517781827384       total: -47.66907598975443
   Kintetic: 4.831524605902318        Potential: 52.50060038288251       total: -47.66907577698019
   Kintetic: 4.825488871761908        Potential: 52.49456443502284       total: -47.66907556326093
   Kintetic: 4.819337693250466        Potential: 52.48841304211899       total: -47.669075348868525
   Kintetic: 4.813074188374799        Potential: 52.48214932244336       total: -47.669075134068564
   Kintetic: 4.806701485882924        Potential: 52.4757764050028       total: -47.66907491911987
   Kintetic: 4.800222721683394        Potential: 52.46929742595755       total: -47.66907470427415
   Kintetic: 4.793641035356469        Potential: 52.46271552513206       total: -47.669074489775596
   Kintetic: 4.786959566762214        Potential: 52.456033842622716       total: -47.6690742758605
   Kintetic: 4.780181452750146        Potential: 52.4492555155072       total: -47.66907406275705
   Kintetic: 4.773309823974499        Potential: 52.44238367465952       total: -47.66907385068502
   Kintetic: 4.766347801818705        Potential: 52.43542144167427       total: -47.66907363985557
   Kintetic: 4.759298495432157        Potential: 52.428371925903214       total: -47.66907343047106
   Kintetic: 4.752164998881862        Potential: 52.42123822160678       total: -47.66907322272492
   Kintetic: 4.744950388421129        Potential: 52.41402340522264       total: -47.66907301680151
   Kintetic: 4.7376577198769345        Potential: 52.406730532753045       total: -47.66907281287611
   Kintetic: 4.730290026157217        Potential: 52.399362637272006       total: -47.669072611114785
   Kintetic: 4.722850314878913        Potential: 52.39192272655337       total: -47.669072411674456
   Kintetic: 4.715341566117126        Potential: 52.38441378081997       total: -47.669072214702844
   Kintetic: 4.70776673027545        Potential: 52.37683875061404       total: -47.66907202033859
